FREQUENCY [Hz],MAG [ohm],PHASE [deg]
<segment> 500   # resistor
1000.0,1499.9959,-0.06
1072.2672220103232,1499.9953,-0.0643
1149.7569953977356,1499.9946,-0.069
1232.8467394420659,1499.9937,-0.074
1321.9411484660286,1499.9928,-0.0793
1417.4741629268049,1499.9917,-0.085
1519.9110829529332,1499.9905,-0.0912
1629.7508346206434,1499.9891,-0.0978
1747.5284000076829,1499.9874,-0.1048
1873.817422860383,1499.9856,-0.1124
2009.2330025650479,1499.9834,-0.1206
2154.4346900318847,1499.9809,-0.1293
2310.1297000831605,1499.9781,-0.1386
2477.0763559917114,1499.9748,-0.1486
2656.0877829466867,1499.971,-0.1594
2848.035868435802,1499.9666,-0.1709
3053.8555088334156,1499.9617,-0.1832
3274.5491628777286,1499.9559,-0.1965
3511.191734215131,1499.9493,-0.2107
3764.9358067924672,1499.9417,-0.2259
4037.017258596554,1499.933,-0.2422
4328.761281083057,1499.923,-0.2597
4641.588833612782,1499.9114,-0.2785
4977.023564332114,1499.8982,-0.2986
5336.699231206313,1499.8829,-0.3201
5722.3676593502205,1499.8654,-0.3433
6135.907273413176,1499.8452,-0.3681
6579.332246575683,1499.8221,-0.3946
7054.8023107186455,1499.7954,-0.4231
7564.633275546291,1499.7648,-0.4537
8111.308307896872,1499.7296,-0.4865
8697.490026177835,1499.6891,-0.5216
9326.0334688322,1499.6426,-0.5592
10000.0,1499.5891,-0.5996
10722.672220103232,1499.5276,-0.6428
11497.569953977356,1499.457,-0.6892
12328.467394420659,1499.3758,-0.7389
13219.411484660288,1499.2824,-0.7922
14174.741629268048,1499.1751,-0.8493
15199.11082952933,1499.0519,-0.9105
16297.508346206434,1498.9102,-0.9761
17475.28400007683,1498.7474,-1.0463
18738.17422860383,1498.5604,-1.1216
20092.33002565046,1498.3455,-1.2022
21544.346900318866,1498.0987,-1.2885
23101.29700083158,1497.8153,-1.381
24770.76355991714,1497.4898,-1.4799
26560.87782946684,1497.1161,-1.5859
28480.35868435805,1496.6872,-1.6993
30538.555088334124,1496.195,-1.8205
32745.491628777316,1495.6303,-1.9502
35111.917342151275,1494.9827,-2.0888
37649.35806792471,1494.2402,-2.237
40370.17258596558,1493.3894,-2.3951
43287.612810830615,1492.415,-2.5639
46415.88833612782,1491.2995,-2.7439
49770.23564332114,1490.0233,-2.9358
53366.99231206313,1488.5645,-3.14
57223.676593502205,1486.8983,-3.3572
61359.072734131754,1484.997,-3.5879
65793.32246575682,1482.8298,-3.8326
70548.02310718645,1480.3626,-4.0917
75646.3327554629,1477.5578,-4.3656
81113.08307896872,1474.3745,-4.6546
86974.90026177834,1470.768,-4.9587
93260.334688322,1466.6907,-5.2778
100000.0,1462.0918,-5.6116
107226.72220103232,1456.918,-5.9595
114975.69953977356,1451.1149,-6.3208
123284.67394420659,1444.6272,-6.694
132194.11484660287,1437.401,-7.0775
141747.4162926805,1429.385,-7.4692
151991.10829529332,1420.5333,-7.8664
162975.08346206468,1410.8073,-8.266
174752.8400007683,1400.1791,-8.6642
187381.74228603867,1388.6341,-9.0568
200923.3002565046,1376.1739,-9.4389
215443.46900318866,1362.8192,-9.8055
231012.9700083158,1348.6117,-10.151
247707.6355991714,1333.6154,-10.4697
265608.7782946684,1317.9174,-10.7561
284803.5868435805,1301.6262,-11.0045
305385.55088334123,1284.8703,-11.21
327454.9162877732,1267.794,-11.3682
351119.17342151277,1250.5532,-11.4758
376493.58067924716,1233.3095,-11.5301
403701.72585965495,1216.2248,-11.5301
432876.12810830615,1199.4546,-11.4757
464158.8833612782,1183.1434,-11.3681
497702.35643321136,1167.4195,-11.2098
533669.9231206313,1152.3917,-11.0043
572236.765935022,1138.1472,-10.7558
613590.7273413176,1124.7506,-10.4695
657933.2246575683,1112.2443,-10.1507
705480.2310718645,1100.6498,-9.8052
756463.3275546291,1089.9695,-9.4386
811130.8307896872,1080.19,-9.0564
869749.0026177834,1071.2841,-8.6638
932603.3468832199,1063.2143,-8.2656
1000000.0,1055.9354,-7.866
<segment> 350   # resistor
1000.0,1349.9985,-0.0327
1072.2672220103232,1349.9983,-0.035
1149.7569953977356,1349.9981,-0.0376
1232.8467394420659,1349.9978,-0.0403
1321.9411484660286,1349.9974,-0.0432
1417.4741629268049,1349.997,-0.0463
1519.9110829529332,1349.9966,-0.0497
1629.7508346206434,1349.9961,-0.0532
1747.5284000076829,1349.9955,-0.0571
1873.817422860383,1349.9948,-0.0612
2009.2330025650479,1349.9941,-0.0656
2154.4346900318847,1349.9932,-0.0704
2310.1297000831605,1349.9921,-0.0755
2477.0763559917114,1349.991,-0.0809
2656.0877829466867,1349.9896,-0.0868
2848.035868435802,1349.9881,-0.093
3053.8555088334156,1349.9863,-0.0998
3274.5491628777286,1349.9842,-0.107
3511.191734215131,1349.9818,-0.1147
3764.9358067924672,1349.9791,-0.123
4037.017258596554,1349.976,-0.1319
4328.761281083057,1349.9724,-0.1414
4641.588833612782,1349.9683,-0.1516
4977.023564332114,1349.9635,-0.1626
5336.699231206313,1349.958,-0.1743
5722.3676593502205,1349.9518,-0.1869
6135.907273413176,1349.9445,-0.2004
6579.332246575683,1349.9362,-0.2149
7054.8023107186455,1349.9267,-0.2304
7564.633275546291,1349.9157,-0.2471
8111.308307896872,1349.9031,-0.2649
8697.490026177835,1349.8886,-0.284
9326.0334688322,1349.8719,-0.3046
10000.0,1349.8527,-0.3265
10722.672220103232,1349.8307,-0.3501
11497.569953977356,1349.8054,-0.3754
12328.467394420659,1349.7762,-0.4025
13219.411484660288,1349.7427,-0.4316
14174.741629268048,1349.7043,-0.4627
15199.11082952933,1349.66,-0.4961
16297.508346206434,1349.6091,-0.5319
17475.28400007683,1349.5507,-0.5702
18738.17422860383,1349.4835,-0.6113
20092.33002565046,1349.4063,-0.6554
21544.346900318866,1349.3176,-0.7026
23101.29700083158,1349.2156,-0.7532
24770.76355991714,1349.0984,-0.8074
26560.87782946684,1348.9638,-0.8654
28480.35868435805,1348.8092,-0.9276
30538.555088334124,1348.6315,-0.9942
32745.491628777316,1348.4275,-1.0655
35111.917342151275,1348.1933,-1.1418
37649.35806792471,1347.9244,-1.2235
40370.17258596558,1347.6157,-1.3109
43287.612810830615,1347.2615,-1.4044
46415.88833612782,1346.8551,-1.5043
49770.23564332114,1346.3891,-1.6111
53366.99231206313,1345.8549,-1.7252
57223.676593502205,1345.2427,-1.847
61359.072734131754,1344.5416,-1.9769
65793.32246575682,1343.739,-2.1155
70548.02310718645,1342.821,-2.263
75646.3327554629,1341.7716,-2.42
81113.08307896872,1340.5732,-2.5869
86974.90026177834,1339.2058,-2.7641
93260.334688322,1337.6474,-2.9518
100000.0,1335.8735,-3.1505
107226.72220103232,1333.8572,-3.3603
114975.69953977356,1331.5693,-3.5814
123284.67394420659,1328.9779,-3.8137
132194.11484660287,1326.0488,-4.0571
141747.4162926805,1322.746,-4.3114
151991.10829529332,1319.0316,-4.5758
162975.08346206468,1314.867,-4.8497
174752.8400007683,1310.2131,-5.1319
187381.74228603867,1305.0321,-5.421
200923.3002565046,1299.2881,-5.7152
215443.46900318866,1292.9493,-6.0123
231012.9700083158,1285.9897,-6.3096
247707.6355991714,1278.3909,-6.6043
265608.7782946684,1270.1445,-6.8927
284803.5868435805,1261.2538,-7.1712
305385.55088334123,1251.7363,-7.4357
327454.9162877732,1241.6246,-7.6819
351119.17342151277,1230.9673,-7.9056
376493.58067924716,1219.8296,-8.1024
403701.72585965495,1208.2917,-8.2685
432876.12810830615,1196.4477,-8.4004
464158.8833612782,1184.4026,-8.495
497702.35643321136,1172.2687,-8.5502
533669.9231206313,1160.1616,-8.5649
572236.765935022,1148.1957,-8.5385
613590.7273413176,1136.4804,-8.4717
657933.2246575683,1125.1158,-8.3662
705480.2310718645,1114.1898,-8.2242
756463.3275546291,1103.7755,-8.0488
811130.8307896872,1093.9305,-7.8439
869749.0026177834,1084.6959,-7.6133
932603.3468832199,1076.097,-7.3614
1000000.0,1068.1447,-7.0924
<segment> j*w*1e-3  # 1mH inductor
1000.0,1000.0197,0.36
1072.2672220103232,1000.0227,0.386
1149.7569953977356,1000.0261,0.4139
1232.8467394420659,1000.03,0.4438
1321.9411484660286,1000.0345,0.4759
1417.4741629268049,1000.0397,0.5103
1519.9110829529332,1000.0456,0.5472
1629.7508346206434,1000.0524,0.5868
1747.5284000076829,1000.0603,0.6292
1873.817422860383,1000.0693,0.6746
2009.2330025650479,1000.0797,0.7234
2154.4346900318847,1000.0917,0.7757
2310.1297000831605,1000.1054,0.8318
2477.0763559917114,1000.1212,0.8919
2656.0877829466867,1000.1393,0.9564
2848.035868435802,1000.1602,1.0255
3053.8555088334156,1000.1842,1.0997
3274.5491628777286,1000.2118,1.1792
3511.191734215131,1000.2436,1.2644
3764.9358067924672,1000.2801,1.3559
4037.017258596554,1000.3221,1.4539
4328.761281083057,1000.3704,1.5591
4641.588833612782,1000.4259,1.6719
4977.023564332114,1000.4898,1.7929
5336.699231206313,1000.5633,1.9227
5722.3676593502205,1000.6478,2.0618
6135.907273413176,1000.7451,2.2111
6579.332246575683,1000.857,2.3713
7054.8023107186455,1000.9858,2.5431
7564.633275546291,1001.134,2.7274
8111.308307896872,1001.3046,2.9251
8697.490026177835,1001.501,3.1373
9326.0334688322,1001.7272,3.3651
10000.0,1001.9876,3.6095
10722.672220103232,1002.2877,3.8719
11497.569953977356,1002.6334,4.1535
12328.467394420659,1003.0319,4.456
13219.411484660288,1003.4915,4.7809
14174.741629268048,1004.0217,5.13
15199.11082952933,1004.6336,5.505
16297.508346206434,1005.3404,5.9082
17475.28400007683,1006.1571,6.3418
18738.17422860383,1007.1018,6.8083
20092.33002565046,1008.1954,7.3105
21544.346900318866,1009.4626,7.8512
23101.29700083158,1010.9328,8.434
24770.76355991714,1012.6407,9.0625
26560.87782946684,1014.628,9.7409
28480.35868435805,1016.9444,10.4739
30538.555088334124,1019.65,11.2666
32745.491628777316,1022.8179,12.1251
35111.917342151275,1026.5371,13.0562
37649.35806792471,1030.9173,14.0675
40370.17258596558,1036.095,15.1681
43287.612810830615,1042.2411,16.3681
46415.88833612782,1049.5722,17.6797
49770.23564332114,1058.3663,19.1169
53366.99231206313,1068.984,20.6962
57223.676593502205,1081.9008,22.4371
61359.072734131754,1097.753,24.3628
65793.32246575682,1117.4079,26.5008
70548.02310718645,1142.0717,28.8837
75646.3327554629,1173.4606,31.5504
81113.08307896872,1214.0825,34.5464
86974.90026177834,1267.7173,37.9247
93260.334688322,1340.2793,41.7452
100000.0,1441.4585,46.073
107226.72220103232,1588.0984,50.9732
114975.69953977356,1811.8975,56.502
123284.67394420659,2179.6608,62.6911
132194.11484660287,2859.0481,69.5269
141747.4162926805,4421.5446,76.9286
151991.10829529332,10898.4417,84.7353
162975.08346206468,21101.7766,-87.2838
174752.8400007683,5432.9534,-79.3936
187381.74228603867,3208.6613,-71.8409
200923.3002565046,2349.6317,-64.8114
215443.46900318866,1909.0442,-58.411
231012.9700083158,1649.1592,-52.6725
247707.6355991714,1482.3451,-47.5764
265608.7782946684,1368.9384,-43.0723
284803.5868435805,1288.5201,-39.0966
305385.55088334123,1229.607,-35.5835
327454.9162877732,1185.3106,-32.4713
351119.17342151277,1151.2875,-29.7045
376493.58067924716,1124.6885,-27.2352
403701.72585965495,1103.5816,-25.0227
432876.12810830615,1086.62,-23.0322
464158.8833612782,1072.8422,-21.2349
497702.35643321136,1061.5468,-19.6061
533669.9231206313,1052.2129,-18.1254
572236.765935022,1044.4471,-16.7752
613590.7273413176,1037.9478,-15.5409
657933.2246575683,1032.4806,-14.4097
705480.2310718645,1027.8614,-13.3708
756463.3275546291,1023.9437,-12.415
811130.8307896872,1020.61,-11.534
869749.0026177834,1017.765,-10.7209
932603.3468832199,1015.3311,-9.9694
1000000.0,1013.2443,-9.274
